timestamp,target_host,sequence,rtt,status
2025-06-07 23:20:57.745854000,8.8.8.8,0,27.643,success
2025-06-07 23:20:58.844122000,8.8.8.8,0,34.813,success
2025-06-07 23:20:59.899978000,8.8.8.8,0,26.992,success
2025-06-07 23:21:00.954879000,8.8.8.8,0,23.240,success
2025-06-07 23:21:02.015687000,8.8.8.8,0,29.163,success
2025-06-07 23:21:03.067658000,8.8.8.8,0,23.079,success
2025-06-07 23:21:04.139746000,8.8.8.8,0,35.545,success
2025-06-07 23:21:05.209902000,8.8.8.8,0,28.612,success
2025-06-07 23:21:06.275088000,8.8.8.8,0,24.062,success
2025-06-07 23:21:07.339278000,8.8.8.8,0,31.838,success
2025-06-07 23:21:08.404033000,8.8.8.8,0,31.085,success
2025-06-07 23:21:09.456262000,8.8.8.8,0,23.957,success
2025-06-07 23:21:10.510584000,8.8.8.8,0,24.076,success
2025-06-07 23:21:11.578248000,8.8.8.8,0,42.698,success
2025-06-07 23:21:12.630054000,8.8.8.8,0,33.079,success
2025-06-07 23:21:13.683237000,8.8.8.8,0,39.141,success
2025-06-07 23:21:14.741516000,8.8.8.8,0,30.243,success
2025-06-07 23:21:15.824763000,8.8.8.8,0,40.347,success
2025-06-07 23:21:16.890566000,8.8.8.8,0,32.035,success
2025-06-07 23:21:17.958840000,8.8.8.8,0,40.332,success
2025-06-07 23:21:19.042103000,8.8.8.8,0,57.322,success
2025-06-07 23:21:20.094042000,8.8.8.8,0,32.559,success
2025-06-07 23:21:21.149334000,8.8.8.8,0,33.534,success
2025-06-07 23:21:22.222401000,8.8.8.8,0,58.413,success
2025-06-07 23:21:23.284725000,8.8.8.8,0,36.311,success
2025-06-07 23:21:24.336383000,8.8.8.8,0,29.763,success
2025-06-07 23:21:25.399300000,8.8.8.8,0,35.105,success
2025-06-07 23:21:26.444946000,8.8.8.8,0,22.073,success
2025-06-07 23:21:27.502644000,8.8.8.8,0,33.100,success
2025-06-07 23:21:28.554837000,8.8.8.8,0,26.748,success
2025-06-07 23:21:29.615158000,8.8.8.8,0,27.387,success
2025-06-07 23:21:30.679348000,8.8.8.8,0,22.688,success
2025-06-07 23:21:31.748937000,8.8.8.8,0,29.979,success
2025-06-07 23:21:32.818426000,8.8.8.8,0,26.081,success
2025-06-07 23:21:33.894959000,8.8.8.8,0,35.333,success
2025-06-07 23:21:34.967285000,8.8.8.8,0,30.338,success
2025-06-07 23:21:36.067154000,8.8.8.8,0,28.522,success
2025-06-07 23:21:37.130258000,8.8.8.8,0,32.078,success
2025-06-07 23:21:38.200052000,8.8.8.8,0,51.474,success
2025-06-07 23:21:39.240759000,8.8.8.8,0,24.907,success
2025-06-07 23:21:40.300405000,8.8.8.8,0,42.735,success
2025-06-07 23:21:41.341549000,8.8.8.8,0,22.088,success
2025-06-07 23:21:42.399767000,8.8.8.8,0,41.715,success
2025-06-07 23:21:43.447456000,8.8.8.8,0,30.252,success
2025-06-07 23:21:44.600256000,8.8.8.8,0,131.309,success
2025-06-07 23:21:45.658729000,8.8.8.8,0,36.763,success
2025-06-07 23:21:46.712796000,8.8.8.8,0,29.705,success
2025-06-07 23:21:47.772405000,8.8.8.8,0,29.025,success
2025-06-07 23:21:48.836182000,8.8.8.8,0,26.077,success
2025-06-07 23:21:49.904458000,8.8.8.8,0,31.158,success
2025-06-07 23:21:50.964084000,8.8.8.8,0,25.708,success
2025-06-07 23:21:52.048597000,8.8.8.8,0,43.189,success
2025-06-07 23:21:53.111434000,8.8.8.8,0,25.029,success
2025-06-07 23:21:54.176899000,8.8.8.8,0,29.628,success
2025-06-07 23:21:55.243350000,8.8.8.8,0,28.156,success
2025-06-07 23:21:56.390064000,8.8.8.8,0,104.330,success
2025-06-07 23:21:57.497247000,8.8.8.8,0,67.547,success
2025-06-07 23:21:58.610612000,8.8.8.8,0,80.303,success
2025-06-07 23:21:59.688044000,8.8.8.8,0,53.802,success
2025-06-07 23:22:00.763362000,8.8.8.8,0,57.145,success
2025-06-07 23:22:01.845609000,8.8.8.8,0,61.914,success
2025-06-07 23:22:02.920707000,8.8.8.8,0,45.564,success
2025-06-07 23:22:03.996147000,8.8.8.8,0,35.782,success
2025-06-07 23:22:05.124461000,8.8.8.8,0,103.872,success
2025-06-07 23:22:06.162457000,8.8.8.8,0,21.206,success
2025-06-07 23:22:07.219580000,8.8.8.8,0,31.173,success
2025-06-07 23:22:08.284739000,8.8.8.8,0,29.130,success
2025-06-07 23:22:09.348309000,8.8.8.8,0,25.110,success
2025-06-07 23:22:10.437913000,8.8.8.8,0,50.106,success
2025-06-07 23:22:11.512192000,8.8.8.8,0,33.530,success
2025-06-07 23:22:12.585700000,8.8.8.8,0,32.004,success
2025-06-07 23:22:13.648684000,8.8.8.8,0,28.950,success
2025-06-07 23:22:14.700479000,8.8.8.8,0,23.528,success
2025-06-07 23:22:15.760001000,8.8.8.8,0,27.212,success
2025-06-07 23:22:16.829145000,8.8.8.8,0,33.919,success
2025-06-07 23:22:17.884757000,8.8.8.8,0,24.899,success
2025-06-07 23:22:18.973740000,8.8.8.8,0,54.344,success
2025-06-07 23:22:20.032939000,8.8.8.8,0,26.517,success
2025-06-07 23:22:21.097741000,8.8.8.8,0,36.203,success
2025-06-07 23:22:22.169553000,8.8.8.8,0,54.757,success
2025-06-07 23:22:23.212137000,8.8.8.8,0,25.320,success
