timestamp,rtt,interface_drops,interface_errors,status
2025-06-07 23:51:04.322358,12.407005755298417,0.0,0.0,success
2025-06-07 23:51:04.422366,10.45560181773419,0.0,0.0,success
2025-06-07 23:51:04.522367,9.468381334311005,0.0,0.0,success
2025-06-07 23:51:04.622369,11.395095509931041,0.0,0.0,success
2025-06-07 23:51:04.722370,12.303513122540037,0.0,0.0,success
2025-06-07 23:51:04.822372,9.93192437001173,0.0,0.0,success
2025-06-07 23:51:04.922373,13.61139335660416,0.0,0.0,success
2025-06-07 23:51:05.022375,11.68018121599794,0.0,0.0,success
2025-06-07 23:51:05.122376,15.858523234830507,0.0,0.0,success
2025-06-07 23:51:05.222377,9.257814040929977,1.0,0.0,success
2025-06-07 23:51:05.322378,9.96638164009131,1.0,0.0,success
2025-06-07 23:51:05.422379,10.118180779347027,1.0,0.0,success
2025-06-07 23:51:05.522381,12.503527060029853,1.0,0.0,success
2025-06-07 23:51:05.622382,9.972481252130583,2.0,0.0,success
2025-06-07 23:51:05.722383,12.094159256009192,2.0,0.0,success
2025-06-07 23:51:05.822384,10.23204736246049,2.0,0.0,success
2025-06-07 23:51:05.922385,10.677885050972732,2.0,0.0,success
2025-06-07 23:51:06.022386,9.09347903384928,3.0,0.0,success
2025-06-07 23:51:06.122387,13.558528517558807,3.0,0.0,success
2025-06-07 23:51:06.222388,9.729866705033169,3.0,0.0,success
2025-06-07 23:51:06.322389,8.713094499145535,4.0,0.0,success
2025-06-07 23:51:06.422390,12.775590123636075,4.0,0.0,success
2025-06-07 23:51:06.522391,8.0766743895747,4.0,0.0,success
2025-06-07 23:51:06.622392,8.268802171536365,4.0,0.0,success
2025-06-07 23:51:06.722393,9.584926196253434,4.0,0.0,success
2025-06-07 23:51:06.822394,10.167491861527134,4.0,0.0,success
2025-06-07 23:51:06.922395,9.324695740961086,4.0,0.0,success
2025-06-07 23:51:07.022396,9.783451821938405,4.0,0.0,success
2025-06-07 23:51:07.122397,12.720984306165146,4.0,0.0,success
2025-06-07 23:51:07.222397,18.838921917420144,4.0,0.0,success
2025-06-07 23:51:07.322398,10.80844012968163,4.0,0.0,success
2025-06-07 23:51:07.422399,7.288877817394277,4.0,0.0,success
2025-06-07 23:51:07.522400,8.370493069369452,4.0,0.0,success
2025-06-07 23:51:07.622400,7.875681894482866,4.0,0.0,success
2025-06-07 23:51:07.722401,11.346385792220964,4.0,0.0,success
2025-06-07 23:51:07.822402,17.2918524705562,4.0,1.0,success
2025-06-07 23:51:07.922403,11.867611174055435,4.0,1.0,success
2025-06-07 23:51:08.022403,7.685205364348933,4.0,1.0,success
2025-06-07 23:51:08.122404,11.160762968617497,4.0,2.0,success
2025-06-07 23:51:08.222405,11.839276933612382,4.0,2.0,success
2025-06-07 23:51:08.322406,9.233201570063196,4.0,2.0,success
2025-06-07 23:51:08.422406,7.636614622703144,4.0,2.0,success
2025-06-07 23:51:08.522407,7.769390230343216,4.0,2.0,success
2025-06-07 23:51:08.622408,11.196734133462893,4.0,2.0,success
2025-06-07 23:51:08.722409,7.697736869919493,4.0,2.0,success
2025-06-07 23:51:08.822409,7.864033642691323,4.0,2.0,success
2025-06-07 23:51:08.922410,8.961097040799144,4.0,2.0,success
2025-06-07 23:51:09.022411,8.68442965816977,4.0,2.0,success
2025-06-07 23:51:09.122411,11.27723081997241,4.0,2.0,success
2025-06-07 23:51:09.222412,12.23350402315836,4.0,2.0,success
2025-06-07 23:51:09.322413,12.108060236307413,4.0,2.0,success
2025-06-07 23:51:09.422413,10.258268792832625,4.0,2.0,success
2025-06-07 23:51:09.522414,10.103274310465679,5.0,2.0,success
2025-06-07 23:51:09.622415,16.930999167968213,5.0,2.0,success
